0-3909|2, 3, 353, 335, 396|2, 1589, 47, 965, 49, 2213, 6, 1094, 45, 5
1-570|45, 462, 280, 466, 634, 467, 40|107, 45, 965, 40, 47, 49, 2213, 462, 1094, 280
2-174|73, 1254, 472|254, 965, 62, 73, 2213, 188, 171, 469, 1094, 149
3-5|459, 462, 460, 0, 22|22, 965, 473, 107, 2213, 47, 64, 49, 6, 1094
4-314|107, 462, 468, 40|107, 40, 280, 462, 965, 468, 49, 47, 2213, 14
5-1662|1886, 13|13, 645, 49, 965, 47, 1060, 171, 14, 2213, 1886
6-124|409|14, 2213, 965, 1094, 29, 47, 1129, 49, 144, 6
7-1889|695, 696, 52, 697|52, 1540, 713, 696, 697, 695, 965, 47, 2213, 1094
8-430|698|49, 107, 698, 965, 47, 106, 2213, 68, 14, 1094
9-1016|247, 482, 704|645, 40, 965, 926, 349, 941, 1094, 2213, 79, 14
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|14, 5, 6, 965, 85, 32, 2213, 1094, 47, 49
11-7|8, 87, 25|8, 773, 373, 965, 25, 1094, 129, 87, 47, 49
12-1238|775, 463|463, 776, 775, 965, 26, 1111, 713, 1112, 1094, 2213
13-1438|14, 529|1094, 14, 130, 582, 32, 965, 188, 1183, 767, 2213
14-1262|616, 339, 354, 484, 820, 464|354, 965, 616, 49, 47, 2213, 189, 1094, 3692, 6
15-1149|446, 47|47, 49, 446, 45, 965, 342, 14, 2213, 1094, 1049
16-1490|1210|1210, 965, 14, 342, 517, 2213, 1094, 239, 634, 1205
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|49, 45, 965, 47, 254, 372, 2213, 1094, 5, 6
18-808|793, 128|128, 793, 130, 582, 965, 46, 189, 870, 368, 1004
19-1936|18, 79|79, 2, 965, 29, 582, 189, 144, 347, 319, 2213
20-4116|1173, 189|1094, 6, 965, 94, 14, 2213, 500, 1015, 47, 1100
21-3508|957|35, 1015, 402, 156, 965, 933, 47, 2213, 937, 5
22-109|6|141, 2213, 5, 965, 797, 6, 248, 958, 1094, 47
23-271|254, 42|965, 32, 85, 733, 15, 791, 254, 2213, 47, 1094
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 965, 85, 5, 45, 6, 2213, 1094, 372
25-3785|2094|618, 965, 1923, 946, 735, 659, 2213, 567, 2468, 27
26-2493|963, 736|731, 582, 965, 1808, 378, 49, 2213, 547, 1094, 47
27-1057|1003, 641, 484, 655|965, 189, 32, 2213, 1094, 82, 49, 1923, 47, 14
28-726|730, 1031|49, 5, 47, 965, 1094, 14, 2213, 163, 1243, 730
29-3911|107, 595, 2551|47, 595, 2551, 35, 206, 965, 1036, 107, 2213, 49
30-870|869, 85, 596, 1035, 68|49, 869, 596, 85, 68, 47, 965, 2213, 35, 37
31-484|1040, 611, 602|14, 968, 965, 5, 6, 1040, 2213, 44, 1094, 47
