0-3909|2, 3, 353, 335, 396|2, 1589, 49, 47, 45, 6, 5, 52, 26, 29
1-570|45, 462, 280, 466, 634, 467, 40|462, 40, 107, 280, 45, 467, 466, 154, 468, 226
2-174|73, 1254, 472|73, 254, 472, 471, 470, 469, 149, 62, 171, 188
3-5|459, 462, 460, 0, 22|22, 460, 462, 459, 332, 21, 3660, 336, 20, 64
4-314|107, 462, 468, 40|462, 40, 468, 280, 107, 45, 467, 466, 634, 49
5-1662|1886, 13|13, 645, 171, 1886, 1060, 49, 47, 107, 14, 93
6-124|409|14, 144, 1129, 188, 29, 2213, 189, 1870, 582, 1037
7-1889|695, 696, 52, 697|52, 713, 1540, 697, 696, 695
8-430|698|698, 49, 106, 141, 68, 107, 47, 1545, 1631, 122
9-1016|247, 482, 704|645, 349, 941, 40, 926, 700, 554, 163, 247, 553
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|14, 6, 5, 85, 529, 322, 528, 32, 30, 941
11-7|8, 87, 25|8, 773, 25, 373, 129, 87, 685, 27, 26, 24
12-1238|775, 463|463, 776, 775, 26, 713, 1111, 1112
13-1438|14, 529|130, 32, 14, 582, 188, 767, 1094, 475, 1203, 1183
14-1262|616, 339, 354, 484, 820, 464|354, 616, 221, 189, 116, 3692, 2756, 1105, 618, 32
15-1149|446, 47|47, 446, 45, 342, 1040, 1049, 49, 35, 50, 14
16-1490|1210|1210, 517, 634, 503, 1514, 239, 1205, 342, 903, 14
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|45, 254, 372, 49, 925, 778, 128, 717, 791, 789
18-808|793, 128|128, 793, 368, 582, 870, 46, 130, 189, 1004
19-1936|18, 79|79, 2, 362, 347, 144, 29, 113, 189, 582, 319
20-4116|1173, 189|6, 1094, 1100, 94, 500, 1015, 735, 926, 79, 65
21-3508|957|35, 402, 156, 1015, 937, 933, 957, 936, 305, 935
22-109|6|797, 958, 248, 141, 5, 6, 1060, 401, 207, 645
23-271|254, 42|791, 32, 733, 85, 254, 42, 26, 153, 377, 179
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 85, 372, 45, 126, 103, 402, 282, 6
25-3785|2094|618, 735, 946, 27, 567, 222, 88, 659, 2468
26-2493|963, 736|731, 582, 1808, 378, 547, 227, 31, 970, 405, 982
27-1057|1003, 641, 484, 655|189, 82, 32, 167, 30, 641, 482, 258, 1005, 634
28-726|730, 1031|1031, 49, 114, 1243, 730, 163, 1037, 1245, 1094, 1631
29-3911|107, 595, 2551|2551, 595, 107, 206, 47, 1036, 35, 1032, 1034, 596
30-870|869, 85, 596, 1035, 68|869, 596, 68, 85, 1035, 49, 37, 388, 38, 921
31-484|1040, 611, 602|14, 968, 1040, 44, 602, 5, 6, 1042, 32, 30
32-1209|141, 247|247, 254, 246, 45, 127, 266, 14, 106, 517, 1087
33-857|793, 857|857, 1046, 903, 1045, 47, 49, 14, 68, 856, 855
34-1904|242, 863, 23|863, 47, 242, 1049, 1716, 1715, 713, 23, 645, 446
35-1232|367, 308|402, 1079, 952, 128, 728, 1051, 112, 1053, 510, 592
36-217|355, 122, 246, 35, 356, 357|246, 1040, 93, 213, 1054, 298, 47, 357, 356, 122
37-2082|721, 206, 397, 5|583, 5, 206, 163, 397, 124, 553, 576, 62, 48
38-1542|305, 522|305, 1068, 875, 936, 1067, 952, 1065, 1064, 445, 106
39-1187|863, 91|91, 45, 242, 68, 90, 254, 794, 469, 1556, 26
40-722|1085, 1101, 707|1085, 1101, 707, 16, 1102, 913, 5, 13, 208, 14
41-656|282, 353|698, 282, 353, 1104, 1103
42-2087|107, 1121, 542, 47, 5, 49|49, 542, 47, 5, 113, 64, 1044, 800, 94, 1117
43-2472|715, 1835, 806, 1837|893, 252, 418, 6, 1597, 1837, 1836, 207, 35, 620
44-1985|654|35, 653, 652, 717, 26, 970, 3696, 1399, 3692, 1616
45-1770|247, 1060, 939|206, 926, 14, 1060, 5, 130, 84, 31, 29, 208
46-801|582, 1183|1183, 582, 965, 1309, 1145, 1094, 245, 551, 189, 319
47-212|343, 348, 85, 154, 2567, 1185, 147, 970, 64, 422, 296, 1190, 22|22, 343, 344, 342, 341, 147, 970, 1185, 1341, 107
48-233|47, 353|47, 49, 92, 242, 353, 114, 23, 78, 67, 374
49-1422|172, 672, 4, 5|672, 183, 4, 1297, 645, 608, 5, 172, 1060
50-526|247, 621|47, 38, 1196, 59, 14, 189, 247, 621, 5, 85
51-602|1197|1197, 717, 47, 423, 1218, 360, 1217, 50, 49, 253
52-4083|2553, 467|3615, 2782, 2781, 715, 207, 47, 1199, 103, 6, 654
53-14|114, 1200, 609, 49|49, 1200, 246, 247, 665, 48, 47, 46, 408, 242
54-83|567|567, 126, 45, 49, 35, 47, 153, 511, 50, 1096
55-1289|141, 45, 733, 242, 167|242, 6, 614, 68, 1046, 342, 800, 45, 1201, 2154
56-653|14, 22|22, 40, 84, 582, 363, 698, 111, 64, 357, 445
57-1477|1202|1202, 1923
58-1189|1077, 282, 342, 45, 32|1077, 35, 282, 207, 179, 32, 1078, 1383, 45, 342
59-109|645|645, 1208, 5, 142, 6, 1060, 14, 654, 247, 1089
60-2661|179|340, 1923, 2699, 2695, 254, 45
61-1222|707, 217, 1893, 1102, 110|14, 1102, 5, 425, 707, 645, 517, 898, 1216, 1213
62-2076|117, 107, 83, 79, 47, 68, 49|45, 246, 79, 163, 17, 59, 47, 655, 423, 1218
63-3503|1053|826, 1053, 354, 605, 302, 32, 64, 339, 258, 508
64-1866|898, 706, 1543, 717|796, 795, 1758, 2836, 592, 1543, 943, 655, 898, 906
65-1542|1068, 305, 936|305, 1068, 875, 1251, 723, 1250, 936, 39, 1063, 206
66-361|61, 1689|47, 61, 6, 1427, 63, 45, 72, 524, 114, 1060
67-456|79, 84, 278|21, 84, 79, 655, 368, 1634, 1704, 1682, 1707, 1698
68-632|106, 305, 936|305, 106, 936, 952, 1260, 684, 163, 685
69-407|50, 51, 487, 1074, 5|5, 487, 580, 1074, 64, 52, 50, 794, 51, 696
70-3875|239, 249, 14, 1678|2579, 305, 952, 106, 111, 1068, 935, 1067, 1261, 1065
71-607|62, 1266, 560, 1268, 311|560, 2, 512, 1266, 1265, 14, 1268, 311, 297, 102
72-1370|271, 1274, 225, 963, 812, 500, 273, 1150, 1181|1150, 717, 906, 1404, 1410, 1916, 1149, 812, 225, 1274
73-1966|1285, 1281, 1284, 1280, 1283, 396|1283, 1280, 396, 153, 1284, 1285, 1282, 1281, 1279, 655
74-4039|1286|1286, 2749, 2741, 184, 1110
75-2467|1368, 1588, 1292, 1294|1294, 1292, 1307, 1588, 1833, 1457, 1368, 1675, 582, 1289
76-918|687|371, 517, 266, 1485, 354, 342, 208, 6, 608, 65
77-3340|426, 388, 1332, 553|426, 32, 553, 1094, 1956, 1038, 47, 2, 49, 188
78-984|1207, 768, 85, 198|768, 198, 5, 891, 683, 103, 29, 1883, 240, 14
79-381|117, 79, 213, 357, 457|79, 84, 357, 213, 117, 40, 425, 108, 1297, 1809
80-1028|41, 39, 5, 6|39, 206, 242, 933, 6, 5, 41, 65, 26, 963
81-1527|141, 45, 254, 1426|68, 219, 1255, 93, 11, 121, 85, 103, 141, 254
82-110|50, 51, 52, 175|52, 49, 175, 65, 6, 5, 323, 671, 645, 751
83-1105|1339, 1337, 1023, 13|1337, 13, 1023, 1339, 6, 5, 14, 383, 1802, 1604
84-1475|1341, 188, 22|22, 1341, 582, 2630, 40, 84, 14, 13, 188, 6
85-2443|1811, 582, 703, 655, 1534|1811, 655, 412, 1809, 651, 1807, 414, 582, 645, 171
