0-3909|2, 3, 353, 335, 396|2, 1589, 134, 6, 136, 49, 62, 63, 47, 45
1-570|45, 462, 280, 466, 634, 467, 40|462, 40, 107, 466, 467, 45, 280, 154, 226, 225
2-174|73, 1254, 472|73, 254, 469, 62, 188, 171, 472, 471, 470, 149
3-5|459, 462, 460, 0, 22|22, 21, 332, 64, 460, 459, 462, 3660, 336, 20
4-314|107, 462, 468, 40|462, 40, 468, 280, 107, 466, 45, 154, 224, 467
5-1662|1886, 13|13, 645, 171, 1886, 1060, 49, 47, 107, 14, 5
6-124|409|14, 144, 1129, 188, 29, 2213, 189, 1870, 582, 1037
7-1889|695, 696, 52, 697|52, 713, 1540, 697, 695, 696
8-430|698|698, 49, 106, 141, 68, 107, 47, 1545, 1631, 122
9-1016|247, 482, 704|645, 349, 941, 40, 926, 247, 700, 554, 163, 482
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|5, 6, 322, 529, 14, 85, 528, 32, 30, 941
11-7|8, 87, 25|8, 25, 773, 373, 685, 27, 26, 24, 87, 129
12-1238|775, 463|463, 776, 775, 26, 713, 1111, 1112
13-1438|14, 529|130, 582, 14, 188, 32, 767, 1094, 475, 1203, 1183
14-1262|616, 339, 354, 484, 820, 464|354, 616, 221, 189, 116, 3692, 2756, 1105, 618, 717
15-1149|446, 47|47, 446, 45, 342, 1040, 1049, 49, 35, 50, 142
16-1490|1210|1210, 517, 634, 503, 1514, 239, 1205, 342, 903, 14
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|45, 778, 254, 372, 49, 128, 925, 717, 791, 789
18-808|793, 128|128, 793, 582, 368, 870, 46, 130, 189, 1004
19-1936|18, 79|79, 2, 347, 362, 144, 29, 113, 189, 582, 319
20-4116|1173, 189|6, 1094, 1100, 94, 500, 1015, 735, 926, 79, 40
21-3508|957|35, 402, 156, 1015, 937, 933, 957, 952, 936, 305
22-109|6|141, 248, 797, 958, 5, 6, 1060, 207, 401, 645
23-271|254, 42|32, 85, 791, 733, 254, 42, 26, 153, 377, 179
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 372, 85, 45, 126, 5, 6, 103, 402
25-3785|2094|618, 735, 946, 27, 567, 222, 88, 659, 2468
26-2493|963, 736|731, 582, 1808, 378, 547, 189, 227, 31, 970, 405
27-1057|1003, 641, 484, 655|82, 189, 32, 167, 30, 641, 482, 258, 1005, 634
28-726|730, 1031|1031, 49, 114, 163, 1243, 730, 1037, 1245, 1094, 1631
29-3911|107, 595, 2551|2551, 595, 107, 206, 47, 1036, 35, 1032, 1034, 596
30-870|869, 85, 596, 1035, 68|869, 596, 68, 85, 1035, 626, 921, 1036, 1039, 37
31-484|1040, 611, 602|14, 968, 1040, 602, 44, 5, 6, 1042, 32, 1060
32-1209|141, 247|247, 45, 246, 254, 127, 266, 14, 106, 517, 1087
33-857|793, 857|857, 14, 47, 49, 903, 1046, 1045, 68, 856, 855
34-1904|242, 863, 23|242, 863, 47, 1716, 1715, 713, 23, 1049, 228, 645
35-1232|367, 308|402, 1079, 952, 128, 728, 1051, 112, 282, 32, 353
36-217|355, 122, 246, 35, 356, 357|246, 1040, 213, 93, 1054, 298, 47, 357, 356, 122
37-2082|721, 206, 397, 5|583, 163, 5, 206, 397, 124, 553, 576, 64, 35
38-1542|305, 522|1068, 305, 875, 1065, 1064, 1067, 445, 952, 936, 106
39-1187|863, 91|91, 45, 242, 68, 90, 254, 794, 469, 1556, 26
40-722|1085, 1101, 707|1085, 1101, 707, 16, 208, 14, 913, 5, 171, 1094
41-656|282, 353|698, 282, 353, 1104, 1103
42-2087|107, 1121, 542, 47, 5, 49|49, 47, 542, 5, 64, 113, 1044, 800, 94, 2
43-2472|715, 1835, 806, 1837|893, 252, 418, 6, 1597, 1837, 1836, 207, 35, 620
44-1985|654|5, 6, 717, 26, 970, 3696, 1399, 3692, 1616, 35
45-1770|247, 1060, 939|206, 926, 14, 5, 130, 84, 1060, 31, 29, 208
46-801|582, 1183|582, 1183, 965, 1309, 1094, 245, 551, 189, 319, 1292
47-212|343, 348, 85, 154, 2567, 1185, 147, 970, 64, 422, 296, 1190, 22|22, 343, 344, 342, 341, 147, 970, 1185, 1341, 107
48-233|47, 353|47, 49, 92, 242, 353, 67, 374, 114, 78, 23
49-1422|172, 672, 4, 5|672, 183, 4, 1297, 645, 608, 5, 172, 1060
50-526|247, 621|14, 47, 38, 59, 1196, 189, 247, 5, 85, 621
51-602|1197|1197, 717, 47, 423, 1218, 360, 1217, 50, 49, 253
52-4083|2553, 467|3615, 2782, 2781, 715, 207, 47, 1199, 103, 6, 654
53-14|114, 1200, 609, 49|49, 246, 1200, 247, 665, 48, 47, 46, 408, 242
54-83|567|567, 126, 45, 49, 35, 47, 153, 511, 50, 1096
55-1289|141, 45, 733, 242, 167|242, 68, 6, 614, 800, 45, 342, 1046, 1201, 2154
56-653|14, 22|22, 40, 84, 582, 363, 698, 111, 64, 357, 445
57-1477|1202|1202, 1923
58-1189|1077, 282, 342, 45, 32|1077, 35, 282, 207, 1383, 1078, 32, 45, 342, 179
59-109|645|645, 5, 1208, 6, 1060, 142, 14, 926, 247, 2213
60-2661|179|340, 1923, 2699, 2695, 254, 45
61-1222|707, 217, 1893, 1102, 110|14, 1102, 707, 645, 898, 5, 425, 517, 13, 1891
62-2076|117, 107, 83, 79, 47, 68, 49|45, 246, 79, 163, 17, 59, 47, 49, 26, 423
63-3503|1053|826, 1053, 354, 605, 32, 302, 64, 339, 258, 508
64-1866|898, 706, 1543, 717|796, 795, 1758, 2836, 592, 1543, 943, 655, 898, 906
65-1542|1068, 305, 936|305, 1068, 875, 936, 1251, 723, 1063, 1250, 39, 645
66-361|61, 1689|6, 47, 61, 1427, 63, 45, 72, 524, 114, 1060
67-456|79, 84, 278|21, 84, 79, 655, 368, 1634, 1704, 1682, 1707, 1698
68-632|106, 305, 936|305, 106, 936, 952, 1260, 684, 163, 685
69-407|50, 51, 487, 1074, 5|487, 5, 580, 1074, 64, 52, 50, 794, 51, 696
70-3875|239, 249, 14, 1678|2579, 305, 952, 106, 111, 1068, 935, 1067, 1261, 1065
71-607|62, 1266, 560, 1268, 311|560, 2, 512, 1265, 1266, 14, 1268, 311, 6, 1273
72-1370|271, 1274, 225, 963, 812, 500, 273, 1150, 1181|717, 1150, 906, 1404, 1410, 1916, 1149, 225, 812, 1274
73-1966|1285, 1281, 1284, 1280, 1283, 396|1283, 1280, 1284, 396, 153, 1285, 1282, 1281, 1279, 655
74-4039|1286|1286, 2749, 2741, 184, 1110
75-2467|1368, 1588, 1292, 1294|1294, 1307, 1588, 1833, 1457, 1368, 1675, 1292, 1289, 1306
76-918|687|517, 371, 266, 1485, 354, 342, 208, 6, 65, 353
77-3340|426, 388, 1332, 553|426, 32, 553, 1094, 1956, 1038, 47, 49, 2, 188
78-984|1207, 768, 85, 198|768, 198, 5, 103, 29, 683, 6, 891, 1883, 240
79-381|117, 79, 213, 357, 457|79, 84, 40, 213, 357, 117, 425, 108, 1297, 1809
80-1028|41, 39, 5, 6|39, 206, 242, 933, 5, 6, 41, 65, 26, 963
81-1527|141, 45, 254, 1426|68, 219, 1255, 93, 141, 85, 103, 11, 121, 45
82-110|50, 51, 52, 175|52, 49, 175, 65, 6, 5, 126, 372, 122, 35
83-1105|1339, 1337, 1023, 13|1337, 1023, 13, 1339, 14, 383, 1802, 1604, 117, 45
84-1475|1341, 188, 22|22, 1341, 582, 2630, 40, 84, 14, 188, 13, 6
85-2443|1811, 582, 703, 655, 1534|412, 655, 1811, 1809, 651, 1807, 414, 582, 645, 171
86-268|49|1147, 49, 768, 5, 22, 1347, 47, 1037, 63, 2
87-1641|254, 604, 556, 1219, 26, 42, 1259, 124|1259, 26, 1427, 319, 1355, 254, 1353, 170, 239, 377
88-323|65, 84, 40|65, 40, 84, 79, 14, 1148, 721, 479, 478, 107
89-2531|498|98, 1350, 939, 262, 113, 130, 14, 475, 22, 86
90-3948|239, 324, 855|1094, 1353, 254, 45, 170, 106, 76, 379, 377, 311
91-427|106, 1077, 1060, 1201|47, 49, 45, 5, 6, 130, 247, 1060, 645, 171
92-3302|1240|965, 1094, 1387, 342, 1389, 892, 1347, 1388, 517, 815
