0-3909|2, 3, 353, 335, 396|2, 1589, 1434, 47, 49, 126, 45, 596, 52, 6
1-570|45, 462, 280, 466, 634, 467, 40|107, 40, 45, 462, 466, 280, 467, 22, 154, 226
2-174|73, 1254, 472|254, 73, 62, 469, 149, 188, 171, 470, 1353, 471
3-5|459, 462, 460, 0, 22|22, 473, 332, 21, 20, 336, 3660, 460, 462, 459
4-314|107, 462, 468, 40|40, 280, 462, 468, 107, 45, 49, 542, 94, 79
5-1662|1886, 13|13, 645, 1060, 171, 1886, 49, 47, 1397, 618, 62
6-124|409|14, 144, 1129, 188, 29, 2213, 189, 247, 582, 2777
7-1889|695, 696, 52, 697|52, 1540, 713, 696, 697, 695, 1790, 794, 1265, 2680
8-430|698|49, 698, 106, 111, 68, 141, 107, 283, 357, 1631
9-1016|247, 482, 704|926, 645, 40, 349, 941, 79, 554, 700, 163, 553
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|14, 5, 6, 85, 322, 529, 32, 528, 30, 735
11-7|8, 87, 25|8, 773, 373, 25, 129, 87, 26, 27, 685, 24
12-1238|775, 463|463, 776, 775, 713, 26, 1111, 1112, 1514, 815, 1485
13-1438|14, 529|130, 582, 14, 32, 767, 1183, 188, 1094, 1203, 475
14-1262|616, 339, 354, 484, 820, 464|354, 616, 3692, 2756, 189, 116, 221, 618, 1105, 32
15-1149|446, 47|47, 446, 45, 1049, 1040, 49, 342, 35, 50, 14
16-1490|1210|1210, 517, 634, 239, 1205, 503, 1514, 342, 14, 903
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|49, 45, 372, 254, 925, 778, 128, 47, 717, 170
18-808|793, 128|128, 793, 130, 46, 870, 582, 368, 189, 1004, 103
19-1936|18, 79|79, 2, 347, 144, 29, 362, 582, 189, 319, 188
20-4116|1173, 189|1094, 1100, 500, 1015, 94, 6, 735, 926, 79, 14
21-3508|957|1015, 402, 156, 35, 933, 937, 305, 935, 936, 952
22-109|6|141, 797, 248, 958, 5, 6, 401, 207, 1060, 645
23-271|254, 42|791, 733, 32, 15, 85, 254, 377, 26, 153, 42
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 85, 372, 45, 126, 402, 282, 103, 5
25-3785|2094|618, 946, 735, 659, 2468, 567, 27, 222, 88, 1923
26-2493|963, 736|731, 582, 1808, 378, 547, 94, 84, 189, 188, 553
27-1057|1003, 641, 484, 655|189, 32, 82, 641, 30, 482, 167, 258, 1005, 636
28-726|730, 1031|49, 5, 1243, 730, 163, 1037, 47, 1245, 130, 39
29-3911|107, 595, 2551|595, 47, 2551, 35, 1036, 206, 1032, 1453, 596, 1445
30-870|869, 85, 596, 1035, 68|869, 596, 68, 85, 49, 1035, 37, 371, 35, 47
31-484|1040, 611, 602|14, 968, 1040, 44, 602, 1042, 5, 6, 30, 32
32-1209|141, 247|247, 1044, 14, 127, 1085, 246, 45, 6, 254, 1087
33-857|793, 857|857, 903, 47, 1046, 1045, 49, 68, 14, 856, 855
34-1904|242, 863, 23|863, 47, 242, 1715, 713, 1716, 23, 1049, 645, 206
35-1232|367, 308|402, 952, 1079, 728, 128, 1051, 112, 282, 1052, 807
36-217|355, 122, 246, 35, 356, 357|246, 93, 1040, 213, 1054, 252, 1055, 1056, 298, 357
37-2082|721, 206, 397, 5|583, 206, 5, 397, 124, 163, 553, 48, 41, 62
38-1542|305, 522|305, 1068, 875, 952, 106, 1067, 445, 1065, 1064, 936
39-1187|863, 91|91, 68, 45, 90, 242, 26, 469, 1556, 254, 881
40-722|1085, 1101, 707|707, 14, 1085, 5, 913, 208, 1891, 245, 49, 6
41-656|282, 353|698, 282, 353, 1103, 1104, 111, 283, 357, 207, 276
42-2087|107, 1121, 542, 47, 5, 49|49, 542, 47, 113, 5, 1044, 64, 800, 94, 1117
43-2472|715, 1835, 806, 1837|893, 252, 35, 1836, 207, 1597, 418, 620, 1835, 1837
44-1985|654|6, 3692, 5, 717, 970, 652, 653, 35, 752, 751
45-1770|247, 1060, 939|206, 1060, 926, 14, 5, 208, 1901, 130, 704, 84
46-801|582, 1183|1183, 582, 1309, 1145, 319, 189, 965, 1292, 551, 245
47-212|343, 348, 85, 154, 2567, 1185, 147, 970, 64, 422, 296, 1190, 22|22, 343, 970, 344, 341, 147, 342, 1185, 1341, 297
48-233|47, 353|47, 49, 92, 242, 353, 114, 374, 67, 23, 78
49-1422|172, 672, 4, 5|672, 183, 4, 5, 172, 1060, 608, 645, 1297, 937
50-526|247, 621|14, 247, 189, 47, 359, 106, 1195, 621, 5, 578
51-602|1197|1197, 717, 47, 423, 1218, 49, 1217, 50, 360, 253
52-4083|2553, 467|2782, 2781, 3615, 3614, 207, 715, 1041, 19, 830, 654
53-14|114, 1200, 609, 49|49, 1200, 246, 247, 408, 665, 47, 48, 46, 45
54-83|567|488, 567, 858, 126, 49, 45, 47, 35, 50, 688
55-1289|141, 45, 733, 242, 167|242, 68, 905, 614, 103, 800, 1046, 446, 6, 1201
56-653|14, 22|22, 84, 40, 170, 227, 698, 111, 582, 21, 64
57-1477|1202|1202, 1923, 965, 1356, 1932, 2172, 1933, 2174, 2173, 2179
58-1189|1077, 282, 342, 45, 32|35, 1077, 207, 282, 179, 1383, 45, 342, 820, 819
59-109|645|645, 5, 130, 1203, 6, 1060, 14, 1208, 926, 60
60-2661|179|1923, 340, 2695, 254, 45, 2699, 965, 2710, 1193, 2694
61-1222|707, 217, 1893, 1102, 110|14, 1102, 5, 707, 898, 425, 645, 1212, 1213, 517
62-2076|117, 107, 83, 79, 47, 68, 49|59, 45, 163, 17, 246, 79, 47, 423, 1218, 49
63-3503|1053|826, 1053, 605, 302, 354, 258, 508, 339, 32, 64
64-1866|898, 706, 1543, 717|796, 795, 592, 2836, 1758, 898, 482, 1543, 906, 705
65-1542|1068, 305, 936|305, 1068, 875, 936, 1250, 1251, 723, 206, 1252, 952
66-361|61, 1689|47, 61, 63, 6, 45, 1427, 114, 72, 49, 524
67-456|79, 84, 278|21, 84, 79, 1698, 22, 1682, 1478, 1634, 1704, 1518
68-632|106, 305, 936|305, 106, 936, 952, 1260, 684, 685, 163, 1068, 1067
69-407|50, 51, 487, 1074, 5|189, 1258, 52, 487, 50, 5, 580, 1259, 51, 794
70-3875|239, 249, 14, 1678|2579, 305, 952, 106, 1068, 1067, 1065, 1064, 445, 111
71-607|62, 1266, 560, 1268, 311|560, 2, 512, 1266, 1265, 14, 1268, 311, 6, 767
72-1370|271, 1274, 225, 963, 812, 500, 273, 1150, 1181|1150, 717, 1410, 1916, 906, 1149, 1404, 1274, 812, 225
73-1966|1285, 1281, 1284, 1280, 1283, 396|1283, 1280, 396, 1281, 1282, 1284, 2107, 153, 2108, 117
74-4039|1286|1286, 2749, 2741, 1110, 184, 117, 2748, 2745, 2746, 181
75-2467|1368, 1588, 1292, 1294|1833, 1294, 1675, 1307, 1457, 1588, 1368, 1289, 1292, 582
76-918|687|371, 517, 266, 342, 1485, 354, 6, 208, 65, 49
77-3340|426, 388, 1332, 553|426, 1956, 553, 32, 1038, 1094, 2, 47, 49, 1313
78-984|1207, 768, 85, 198|768, 198, 5, 891, 1118, 637, 352, 1207, 538, 683
79-381|117, 79, 213, 357, 457|79, 84, 1297, 357, 213, 117, 40, 1492, 1807, 1809
80-1028|41, 39, 5, 6|39, 933, 206, 242, 5, 24, 65, 963, 41, 26
81-1527|141, 45, 254, 1426|68, 93, 1255, 219, 11, 141, 121, 385, 103, 85
82-110|50, 51, 52, 175|52, 49, 122, 323, 175, 65, 126, 671, 751, 396
83-1105|1339, 1337, 1023, 13|1337, 13, 1023, 1339, 5, 6, 383, 1604, 14, 241
84-1475|1341, 188, 22|22, 1341, 84, 40, 582, 2630, 13, 14, 188, 73
85-2443|1811, 582, 703, 655, 1534|1811, 655, 412, 1807, 1809, 414, 651, 582, 171, 645
86-268|49|1147, 768, 49, 5, 1347, 22, 47, 1037, 769, 63
87-1641|254, 604, 556, 1219, 26, 42, 1259, 124|1259, 26, 1353, 254, 170, 239, 1355, 1427, 319, 377
88-323|65, 84, 40|79, 65, 40, 84, 41, 14, 1148, 479, 478, 721
89-2531|498|98, 1350, 939, 262, 113, 14, 130, 1090, 105, 704
90-3948|239, 324, 855|1094, 1353, 254, 170, 45, 379, 106, 76, 377, 311
91-427|106, 1077, 1060, 1201|47, 49, 45, 5, 968, 247, 130, 1060, 6, 645
92-3302|1240|965, 1094, 1387, 342, 517, 1389, 1347, 1388, 1923, 892
93-1744|354|29, 833, 3692, 6, 189, 1390, 449, 354, 335, 917
94-3884|117, 2, 1392, 6, 1393, 1212, 756, 5, 660, 746|280, 3611, 1391, 348, 1393, 1392, 14, 5, 746, 223
95-1145|6, 1099, 5, 418|645, 47, 49, 35, 715, 1048, 1715, 5, 1798, 2671
96-3948|401, 298, 239, 103, 85, 962, 2977|1094, 298, 401, 103, 85, 1199, 1396, 579, 1395, 1394
97-388|30, 32|717, 271, 1274, 273, 32, 824, 189, 735, 482, 500
98-780|247, 1397, 645, 14|645, 1397, 618, 14, 3692, 13, 189, 267, 461, 3694
99-1953|1398|354, 116, 1398, 3692, 6, 189, 207, 616, 418, 221
100-1424|1401, 323, 5, 6|1401, 14, 323, 311, 6, 5, 1060, 264, 118, 263
101-2402|181|1345, 1099, 113, 512, 1323, 50, 106, 124, 117, 583
102-2027|1416, 60, 774, 206, 1419, 1413|206, 774, 256, 64, 39, 654, 1266, 1411, 47, 1017
103-2015|342, 38|1606, 1608, 253, 35, 64, 45, 1039, 388, 254, 26
104-804|748, 1437, 339|1187, 1437, 1435, 339, 603, 1433, 1470, 1469, 1468, 32
105-3882|1440, 107|98, 14, 1439, 3692, 1438, 717, 280, 970, 461, 286
106-460|432, 588, 589|1442, 1443, 432, 588, 589, 1444, 189, 319, 582, 2213
107-2486|1448, 1762|1435, 1453, 1434, 1845, 1844, 47, 49, 858, 126, 1448
108-1282|565|565, 1556, 641, 794, 811, 903, 266, 631, 1108, 902
109-1210|1080, 107, 952, 1462, 1091, 14, 1460, 1466, 1092, 1067|1081, 1092, 1079, 1091, 952, 1466, 282, 107, 2689, 402
110-804|1469|704, 1435, 1470, 1469, 1468, 206, 582, 1433, 1467, 1158
111-1360|1580, 1144|13, 1471, 1144, 6, 5, 1136, 1473, 189, 14, 230
112-1541|137, 2, 935, 1475, 6, 305, 111, 98, 936|305, 111, 935, 1475, 98, 936, 137, 6, 1962, 2
113-3331|231, 14, 898|1094, 14, 1477, 1476, 250, 231, 46, 898, 48, 49
114-816|340, 810, 32|340, 112, 517, 353, 128, 781, 921, 169, 32, 628
115-934|1510|527, 1492, 898, 1389, 2114, 906, 965, 1478, 1536, 1489
116-971|903|863, 903, 98, 820, 1045, 1105, 219, 290, 228, 1046
117-1597|114, 188, 47, 49|49, 47, 79, 1331, 475, 246, 163, 542, 63, 409
118-845|845|845, 47, 810, 5, 50, 904, 49, 14, 68, 236
119-407|1797, 52, 557, 5|580, 1129, 1074, 470, 1525, 424, 52, 1524, 47, 49
120-1583|1526, 133|47, 2519, 498, 2, 1313, 116, 1312, 1526, 1027, 1351
121-1571|64, 6|6, 1781, 64, 1099, 371, 893, 921, 517, 49, 353
122-205|21, 64, 155|64, 22, 1529, 904, 345, 621, 659, 893, 21, 20
123-850|50, 142, 14|50, 14, 156, 242, 65, 142, 29, 846, 849, 147
124-639|59, 499, 49|49, 499, 47, 50, 14, 1489, 1077, 6, 1503, 1775
125-1873|1900, 63, 32, 26|63, 32, 1094, 79, 1531, 179, 553, 714, 700, 270
126-719|241, 13, 1060|1060, 13, 14, 241, 16, 707, 1032, 247, 593, 645
