0-3909|2, 3, 353, 335, 396|29, 94, 23, 138, 6, 5, 45, 85, 39, 244
1-570|45, 462, 280, 466, 634, 467, 40|280, 40, 107, 111, 45, 186, 68, 154, 22, 462
2-174|73, 1254, 472|470, 469, 472, 471, 149, 62, 171, 188
3-5|459, 462, 460, 0, 22|460, 462, 459, 6, 22, 85, 473, 278, 461, 361
4-314|107, 462, 468, 40|107, 40, 45, 467, 68, 6, 49, 47, 466, 2
5-1662|1886, 13|107, 14, 49, 295, 40, 45, 126, 93, 26, 47
6-124|409|14
7-1889|695, 696, 52, 697|697, 52, 696, 695
8-430|698|698, 111, 283, 357, 276, 445, 8, 64, 102, 5
9-1016|247, 482, 704|247, 746, 6, 700, 645, 621, 554, 749, 748, 45
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|6, 5, 14, 761, 85, 762, 760, 529, 322, 40
11-7|8, 87, 25|773, 373, 129, 87, 774, 8, 51
12-1238|775, 463|775, 776, 463
13-1438|14, 529|582, 32, 14, 188, 767
14-1262|616, 339, 354, 484, 820, 464|49, 47, 35, 372, 806, 32, 45, 254, 128, 50
15-1149|446, 47|49, 47, 52, 35, 865, 715, 888, 50, 372, 891
16-1490|1210|342, 903, 919, 21, 833, 582, 221, 800, 217, 20
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|49, 254, 45, 372, 778, 925, 246, 369, 247, 171
18-808|793, 128|870, 46, 130, 368, 582
19-1936|18, 79|79, 362, 347, 144, 29, 84, 461
20-4116|1173, 189|735, 65, 943, 247, 47, 949, 926, 951, 114, 582
21-3508|957|937, 957, 936, 305, 935, 952, 933, 956, 672, 645
22-109|6|797, 958, 248, 141, 207, 401
23-271|254, 42|85, 791, 32, 733, 15
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|85, 6, 5, 103, 402, 282, 126, 45, 49, 47
25-3785|2094|618, 946, 735
26-2493|963, 736|227, 405, 970, 982, 31, 582, 189, 993, 148, 962
27-1057|1003, 641, 484, 655|79, 655, 1012, 634, 1013, 153, 636, 78, 750, 1005
28-726|730, 1031|49, 114, 1031, 1030, 5, 130, 372, 39, 572, 707
29-3911|107, 595, 2551|206, 47, 107, 1032, 1034, 596, 576, 246, 732, 252
30-870|869, 85, 596, 1035, 68|37, 1035, 49, 869, 371, 35, 47, 144, 370, 1037
31-484|1040, 611, 602|968, 1040, 1042, 44, 32, 30, 43, 632, 666, 1043
32-1209|141, 247|247, 254, 246, 45, 6, 1044
33-857|793, 857|903, 1045, 1046, 47, 49, 14, 857
34-1904|242, 863, 23|47, 1049, 246, 446, 374, 645, 242, 206, 39, 887
