0-3909|2, 3, 353, 335, 396|2, 1589, 29, 94, 23, 138, 6, 5, 45, 85
1-570|45, 462, 280, 466, 634, 467, 40|280, 40, 107, 45, 462, 467, 466, 154, 111, 226
2-174|73, 1254, 472|73, 254, 470, 469, 472, 471, 149, 62, 171, 188
3-5|459, 462, 460, 0, 22|460, 462, 459, 6, 22, 332, 21, 3660, 336, 20
4-314|107, 462, 468, 40|107, 40, 45, 462, 468, 280, 467, 68, 6, 49
5-1662|1886, 13|107, 14, 13, 49, 295, 645, 171, 1886, 1060, 40
6-124|409|14, 144, 1129, 188, 29, 2213, 189, 1870, 582, 1037
7-1889|695, 696, 52, 697|52, 697, 696, 695, 713, 1540
8-430|698|698, 49, 106, 141, 68, 107, 47, 1545, 1631, 122
9-1016|247, 482, 704|645, 349, 941, 40, 926, 247, 746, 6, 700, 621
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|6, 5, 14, 85, 761, 529, 322, 762, 760, 528
11-7|8, 87, 25|773, 8, 373, 25, 129, 685, 27, 26, 24, 87
12-1238|775, 463|463, 775, 776, 26, 713, 1111, 1112
13-1438|14, 529|130, 582, 32, 14, 188, 767, 1094, 475, 1203, 1183
14-1262|616, 339, 354, 484, 820, 464|49, 47, 35, 372, 354, 616, 221, 189, 116, 3692
15-1149|446, 47|47, 49, 446, 45, 342, 1040, 1049, 52, 35, 865
16-1490|1210|342, 1210, 517, 634, 503, 1514, 239, 1205, 903, 919
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|49, 45, 254, 372, 778, 128, 717, 791, 789, 170
18-808|793, 128|128, 793, 870, 46, 130, 368, 582, 189, 1004
19-1936|18, 79|79, 362, 347, 2, 144, 29, 113, 189, 582, 319
20-4116|1173, 189|735, 65, 6, 1094, 1100, 94, 500, 1015, 943, 247
21-3508|957|35, 402, 156, 1015, 937, 957, 936, 305, 935, 952
22-109|6|797, 958, 248, 141, 5, 6, 1060, 207, 401, 645
23-271|254, 42|85, 791, 32, 733, 15, 254, 42, 26, 153, 377
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|85, 47, 49, 372, 45, 6, 5, 126, 103, 402
25-3785|2094|618, 946, 735, 27, 567, 222, 88, 659, 2468
26-2493|963, 736|731, 227, 582, 1808, 378, 547, 405, 970, 982, 31
27-1057|1003, 641, 484, 655|82, 189, 32, 167, 30, 641, 482, 258, 79, 655
28-726|730, 1031|49, 114, 1243, 730, 163, 1037, 1245, 1094, 1631, 1912
29-3911|107, 595, 2551|206, 47, 2551, 595, 107, 1036, 35, 1032, 1034, 596
30-870|869, 85, 596, 1035, 68|37, 1035, 869, 596, 68, 85, 49, 371, 35, 47
31-484|1040, 611, 602|968, 1040, 14, 1042, 44, 602, 5, 6, 32, 30
32-1209|141, 247|247, 254, 246, 45, 6, 1044, 127, 266, 14, 106
33-857|793, 857|857, 903, 1045, 1046, 47, 49, 68, 856, 855, 14
34-1904|242, 863, 23|47, 1049, 863, 242, 1716, 1715, 713, 23, 246, 446
35-1232|367, 308|402, 1051, 1079, 952, 128, 728, 112, 32, 198, 1053
36-217|355, 122, 246, 35, 356, 357|1040, 246, 93, 213, 1054, 252, 1056, 1055, 298, 47
37-2082|721, 206, 397, 5|163, 5, 206, 583, 397, 64, 35, 171, 553, 1060
38-1542|305, 522|305, 1068, 936, 1067, 952, 1065, 1064, 445, 106, 875
39-1187|863, 91|91, 45, 242, 68, 254, 794, 469, 1556, 26, 52
40-722|1085, 1101, 707|1085, 707, 913, 5, 14, 208, 1094, 171, 2134, 103
41-656|282, 353|698, 282, 1104, 1103, 353
42-2087|107, 1121, 542, 47, 5, 49|128, 49, 542, 47, 113, 5, 64, 1044, 254, 876
43-2472|715, 1835, 806, 1837|252, 893, 418, 6, 1597, 1837, 1836, 207, 35, 620
44-1985|654|717, 26, 970, 3696, 1399, 3692, 1616, 752, 6, 5
45-1770|247, 1060, 939|206, 247, 1148, 926, 14, 130, 5, 84, 31, 29
46-801|582, 1183|1183, 582, 965, 1309, 1094, 245, 551, 189, 319, 1292
47-212|343, 348, 85, 154, 2567, 1185, 147, 970, 64, 422, 296, 1190, 22|970, 22, 343, 1185, 344, 342, 341, 147, 189, 50
48-233|47, 353|47, 49, 92, 353, 242, 67, 374, 114, 23, 78
49-1422|172, 672, 4, 5|672, 183, 4, 1297, 645, 608, 5, 172, 1060
50-526|247, 621|14, 47, 189, 247, 621, 359, 578, 1195, 5, 85
51-602|1197|1197, 47, 717, 423, 1218, 360, 1217, 50, 49, 253
52-4083|2553, 467|3615, 2782, 2781, 715, 207, 1199, 103, 47, 6, 654
53-14|114, 1200, 609, 49|1200, 49, 246, 408, 247, 665, 48, 47, 46, 242
54-83|567|488, 858, 567, 126, 45, 49, 35, 47, 153, 511
55-1289|141, 45, 733, 242, 167|242, 68, 800, 45, 1046, 342, 6, 614, 1201, 446
56-653|14, 22|22, 227, 40, 84, 170, 582, 363, 698, 111, 64
57-1477|1202|1202, 1923
58-1189|1077, 282, 342, 45, 32|35, 179, 207, 1077, 1383, 282, 45, 342, 2618, 1763
59-109|645|1208, 645, 5, 6, 1060, 14, 2213, 926, 311, 142
60-2661|179|340, 1923, 2699, 2695, 254, 45
61-1222|707, 217, 1893, 1102, 110|14, 1102, 517, 5, 425, 707, 645, 898, 1891, 245
62-2076|117, 107, 83, 79, 47, 68, 49|45, 655, 246, 79, 163, 17, 59, 47, 1235, 49
63-3503|1053|1053, 826, 605, 354, 302, 32, 64, 339, 258, 508
