0-3909|2, 3, 353, 335, 396|2213, 1129, 49, 6, 47, 107, 29, 45, 63, 144
1-570|45, 462, 280, 466, 634, 467, 40|107, 224, 280, 213, 462, 45, 64, 22, 357, 1130
2-174|73, 1254, 472|254, 469, 42, 313, 117, 26, 124, 306, 370, 170
3-5|459, 462, 460, 0, 22|22, 64, 21, 20, 107, 336, 473, 278, 332, 460
4-314|107, 462, 468, 40|107, 224, 213, 40, 45, 280, 462, 1130, 357, 49
5-1662|1886, 13|13, 49, 645, 241, 240, 47, 107, 5, 45, 568
6-124|409|14, 144, 29, 188, 1129, 85, 32, 6, 1094, 488
7-1889|695, 696, 52, 697|52, 1610, 2166, 2160, 2161, 2163, 2164, 50, 51, 107
8-430|698|111, 49, 336, 280, 122, 107, 68, 246, 47, 698
9-1016|247, 482, 704|40, 6, 5, 65, 554, 645, 700, 482, 247, 553
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|14, 5, 32, 6, 48, 107, 85, 475, 8, 281
11-7|8, 87, 25|1200, 44, 968, 5, 107, 6, 1040, 8, 188, 29
12-1238|775, 463|1094, 342, 26, 1111, 64, 24, 93, 254, 1455, 45
13-1438|14, 529|5, 130, 14, 6, 582, 1094, 85, 208, 32, 65
14-1262|616, 339, 354, 484, 820, 464|98, 1099, 354, 616, 237, 1631, 113, 116, 47, 221
15-1149|446, 47|47, 49, 446, 50, 342, 659, 35, 46, 905, 14
16-1490|1210|659, 239, 14, 898, 354, 149, 634, 342, 517, 903
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|47, 49, 254, 45, 128, 15, 94, 14, 124, 50
18-808|793, 128|582, 189, 717, 5, 6, 1094, 50, 85, 14, 2
19-1936|18, 79|79, 582, 63, 2, 189, 6, 62, 29, 965, 47
20-4116|1173, 189|247, 5, 735, 926, 6, 47, 645, 79, 40, 14
21-3508|957|35, 305, 106, 952, 6, 936, 935, 335, 1067, 111
22-109|6|6, 5, 645, 141, 1597, 1060, 418, 45, 207, 14
23-271|254, 42|254, 42, 29, 6, 26, 64, 124, 170, 144, 67
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 45, 50, 35, 246, 542, 171, 59, 372
25-3785|2094|247, 735, 800, 24, 189, 717, 926, 342, 239, 94
26-2493|963, 736|582, 189, 965, 319, 1094, 79, 47, 6, 732, 49
27-1057|1003, 641, 484, 655|48, 32, 91, 90, 1094, 82, 68, 84, 254, 189
28-726|730, 1031|5, 144, 29, 188, 47, 1129, 49, 163, 39, 1411
29-3911|107, 595, 2551|35, 47, 49, 6, 206, 335, 596, 418, 107, 715
30-870|869, 85, 596, 1035, 68|35, 49, 6, 68, 335, 1769, 596, 715, 1077, 595
31-484|1040, 611, 602|1200, 5, 968, 6, 645, 44, 1060, 1040, 14, 2584
32-1209|141, 247|14, 247, 246, 5, 107, 122, 171, 26, 6, 1094
33-857|793, 857|85, 14, 402, 47, 103, 1079, 49, 649, 298, 68
34-1904|242, 863, 23|47, 228, 50, 49, 1610, 68, 863, 242, 85, 851
35-1232|367, 308|85, 103, 298, 402, 6, 1079, 1597, 649, 141, 418
36-217|355, 122, 246, 35, 356, 357|1912, 122, 107, 49, 2767, 106, 117, 85, 60, 111
37-2082|721, 206, 397, 5|206, 163, 254, 5, 105, 171, 553, 582, 583, 1667
38-1542|305, 522|305, 815, 106, 952, 936, 1068, 445, 1067, 1064, 1065
39-1187|863, 91|91, 45, 52, 90, 93, 68, 1005, 2574, 254, 189
40-722|1085, 1101, 707|13, 1094, 2676, 707, 14, 47, 1085, 49, 230, 241
41-656|282, 353|35, 107, 5, 6, 8, 14, 282, 39, 281, 85
42-2087|107, 1121, 542, 47, 5, 49|49, 47, 800, 542, 94, 1117, 5, 2, 35, 702
