0-3909|2, 3, 353, 335, 396|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
1-570|45, 462, 280, 466, 634, 467, 40|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
2-174|73, 1254, 472|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
3-5|459, 462, 460, 0, 22|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
4-314|107, 462, 468, 40|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
5-1662|1886, 13|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
6-124|409|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
7-1889|695, 696, 52, 697|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
8-430|698|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
9-1016|247, 482, 704|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
11-7|8, 87, 25|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
12-1238|775, 463|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
13-1438|14, 529|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
14-1262|616, 339, 354, 484, 820, 464|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
15-1149|446, 47|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
16-1490|1210|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
18-808|793, 128|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
19-1936|18, 79|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
20-4116|1173, 189|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
21-3508|957|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
22-109|6|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
23-271|254, 42|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
25-3785|2094|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
26-2493|963, 736|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
27-1057|1003, 641, 484, 655|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
28-726|730, 1031|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
29-3911|107, 595, 2551|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
30-870|869, 85, 596, 1035, 68|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
31-484|1040, 611, 602|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
32-1209|141, 247|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
33-857|793, 857|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
34-1904|242, 863, 23|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
35-1232|367, 308|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
36-217|355, 122, 246, 35, 356, 357|965, 2213, 47, 49, 14, 342, 1094, 1923, 5, 6
