0-3909|2, 3, 353, 335, 396|1589, 2
1-570|45, 462, 280, 466, 634, 467, 40|40, 467, 466, 462, 45, 107, 226, 154, 280, 225
2-174|73, 1254, 472|73, 254, 464, 1357, 1353, 170, 297, 4, 259, 258
3-5|459, 462, 460, 0, 22|22, 332, 3660, 336, 21, 20, 64, 331, 330, 329
4-314|107, 462, 468, 40|40, 468, 280, 462, 107
5-1662|1886, 13|13, 1886, 1060, 171, 645
6-124|409|144, 1129, 188, 29, 2213, 189, 1870, 582, 1037, 409
7-1889|695, 696, 52, 697|713, 52, 1540
8-430|698|49, 106, 141, 68, 107, 47, 1545, 1631, 122
9-1016|247, 482, 704|349, 645, 941, 40, 926
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|941, 940, 735, 529, 528, 322, 14, 30, 32, 6
11-7|8, 87, 25|8, 25, 685, 27, 26, 24
12-1238|775, 463|463, 26, 713, 1111, 1112
13-1438|14, 529|130, 1094, 475, 1203, 1183, 445
14-1262|616, 339, 354, 484, 820, 464|354, 616, 221, 189, 116, 3692, 2756, 1105, 618
15-1149|446, 47|47, 446, 342, 1040, 45, 1049
16-1490|1210|1210, 503, 1514, 634, 517, 239, 1205
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|128, 45, 717, 791, 789, 372, 170, 788, 83, 787
18-808|793, 128|128, 793, 189, 1004
19-1936|18, 79|79, 2, 113, 189, 582, 319, 188
20-4116|1173, 189|1094, 1100, 6, 94, 500, 1015
21-3508|957|35, 402, 156, 1015
22-109|6|5, 6, 1060, 645, 2213, 926, 311, 1094, 171, 752
23-271|254, 42|254, 42, 26, 153, 377, 179, 469, 1474, 45, 67
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 67, 374, 246, 372, 370, 59, 376, 375
25-3785|2094|27, 567, 222, 88, 659, 2468
26-2493|963, 736|731, 582, 1808, 378, 547
27-1057|1003, 641, 484, 655|189, 167, 30, 641, 32, 82, 482, 258
28-726|730, 1031|1243, 730, 163, 1037, 1245, 1094, 1631, 1912, 929, 1908
29-3911|107, 595, 2551|2551, 595, 1036, 35
30-870|869, 85, 596, 1035, 68|68, 596, 85, 869
31-484|1040, 611, 602|14, 602, 5, 6, 1060, 353, 968, 1891, 245, 103
32-1209|141, 247|127, 266, 14, 106, 517, 1087, 1085, 50
33-857|793, 857|857, 68, 856, 855, 801, 962, 1394, 85, 103, 298
34-1904|242, 863, 23|863, 1716, 1715, 713, 23, 242
35-1232|367, 308|402, 1079, 952, 128, 728
36-217|355, 122, 246, 35, 356, 357|246, 298, 47, 357, 356, 122, 276, 355
37-2082|721, 206, 397, 5|5, 206, 397, 64, 35, 171, 163, 3691, 1094, 644
38-1542|305, 522|305, 1068, 875
39-1187|863, 91|45, 242, 254, 794, 469, 1556, 26, 52, 881
40-722|1085, 1101, 707|707, 913, 5, 1094, 2134, 103, 467, 2138, 230, 2136
41-656|282, 353|698
