0-3909|2, 3, 353, 335, 396|2, 6, 63, 62, 49, 47, 5, 50, 4, 12
1-570|45, 462, 280, 466, 634, 467, 40|107, 280, 462, 40, 111, 45, 154, 204, 449, 224
2-174|73, 1254, 472|470, 469, 472, 471, 149, 62, 171, 188
3-5|459, 462, 460, 0, 22|460, 462, 459, 22, 309, 473, 42, 278, 366, 64
4-314|107, 462, 468, 40|107, 40, 6, 224, 45, 5, 468, 462, 466, 68
5-1662|1886, 13|645, 49, 171, 8, 13, 690, 691, 47, 107, 157
6-124|409|14
7-1889|695, 696, 52, 697|697, 52, 696, 695
8-430|698|698, 111, 283, 357, 276, 8, 445, 246, 64, 22
9-1016|247, 482, 704|729, 721, 60, 247, 13, 708, 704, 734, 720, 725
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|6, 5, 14, 40, 32, 761, 85, 30, 762, 760
11-7|8, 87, 25|373, 87, 773, 8, 51, 129, 774
12-1238|775, 463|776, 463, 775
13-1438|14, 529|32, 14, 767, 582, 188
14-1262|616, 339, 354, 484, 820, 464|354, 32, 781, 806, 128, 35, 153, 717, 812, 225
15-1149|446, 47|47, 49, 35, 888, 114, 879, 45, 374, 52, 50
16-1490|1210|517, 342, 894, 634, 903, 14, 702, 898, 446, 905
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|49, 45, 254, 372, 925, 778, 369, 851, 126, 242
18-808|793, 128|870, 46, 130, 368, 582
19-1936|18, 79|144, 29, 79, 362, 347, 84, 461
20-4116|1173, 189|735, 926, 189, 13, 79, 241, 425, 113, 7, 474
21-3508|957|933, 106, 5, 172, 98, 953, 117, 936, 956, 672
22-109|6|797, 401, 958, 248, 141, 207
23-271|254, 42|85, 15, 791, 32, 733
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|85, 126, 45, 49, 47, 372, 6, 5, 103, 402
25-3785|2094|946, 735, 618
26-2493|963, 736|582, 189, 970, 188, 929, 144, 29, 405, 998, 981
27-1057|1003, 641, 484, 655|189, 82, 32, 1003, 1005, 81, 78, 1004, 500, 634
28-726|730, 1031|49, 105, 5, 130, 707, 1015, 13, 163, 1020, 906
29-3911|107, 595, 2551|47, 107, 252, 409, 61, 384, 1033, 48, 1032, 732
30-870|869, 85, 596, 1035, 68|1035, 37, 843, 1036, 49, 35, 371, 47, 144, 370
31-484|1040, 611, 602|968, 1040, 44, 1042, 32, 30, 43, 632, 666, 1043
32-1209|141, 247|247, 254, 246, 45, 6, 1044
33-857|793, 857|47, 49, 14, 903, 1045, 1046
34-1904|242, 863, 23|645, 242, 887, 888, 909, 228, 14, 156, 142, 1029
35-1232|367, 308|1050, 68, 142, 463, 386, 353, 807, 45, 282, 418
36-217|355, 122, 246, 35, 356, 357|777, 1055, 93, 252, 213, 1056, 1054, 659, 1057, 1040
37-2082|721, 206, 397, 5|583, 163, 639, 26, 62, 124, 553, 576, 79, 1060
38-1542|305, 522|936, 305, 1068, 1067, 952, 1065, 1064, 445, 106, 1069
39-1187|863, 91|91, 68, 90, 1076, 60, 1073, 38, 14, 1072, 1074
40-722|1085, 1101, 707|1085, 14, 1101, 13, 47, 49, 16, 64, 1083, 1060
41-656|282, 353|353, 282, 1104, 1103
42-2087|107, 1121, 542, 47, 5, 49|542, 47, 49, 219, 1119, 1122, 800, 702, 1121, 113
43-2472|715, 1835, 806, 1837|252, 893
44-1985|654|752, 6, 5, 751, 35, 653, 652
45-1770|247, 1060, 939|1060, 409, 206, 247, 1134, 1145, 644, 35, 5, 1153
46-801|582, 1183|1183, 582, 1145, 445, 79, 94, 583, 206
