0-3909|2, 3, 353, 335, 396|1589, 2
1-570|45, 462, 280, 466, 634, 467, 40|40, 467, 466, 462, 45, 107, 634, 226, 154, 280
2-174|73, 1254, 472|4, 259, 73, 254, 258, 464, 1357, 1353, 170, 297
3-5|459, 462, 460, 0, 22|22, 21, 20, 332, 0, 64, 331, 330, 329, 328
4-314|107, 462, 468, 40|40, 468, 280, 462, 107
5-1662|1886, 13|1060, 171, 13, 1886, 645
6-124|409|144, 29, 1072, 501, 2008, 188, 1870, 189, 1129, 2213
7-1889|695, 696, 52, 697|713, 52, 1540
8-430|698|49, 106, 141, 68, 107, 1631, 47, 1545, 122
9-1016|247, 482, 704|941, 40, 926, 349, 645
10-364|85, 102, 5, 6, 14, 760, 322, 761, 528, 771, 772, 529, 762|941, 940, 735, 529, 528, 322, 14, 30, 32, 6
11-7|8, 87, 25|8, 25, 27, 26, 24, 685
12-1238|775, 463|463, 1111, 1112
13-1438|14, 529|1183, 445, 130, 1203, 475, 1094
14-1262|616, 339, 354, 484, 820, 464|354, 616, 1105, 618, 221, 189, 116, 3692, 2756
15-1149|446, 47|47, 446, 1049, 342, 1040, 45
16-1490|1210|1210, 634, 517, 239, 1205, 503, 1514
17-69|784, 45, 785, 225, 254, 29, 778, 786, 787, 83, 788, 170, 372, 789, 791, 717, 128|128, 45, 717, 791, 789, 372, 170, 788, 83, 787
18-808|793, 128|128, 189, 1004, 793
19-1936|18, 79|79, 2, 113, 188, 189, 582, 319
20-4116|1173, 189|1100, 6, 94, 500, 1015, 1094
21-3508|957|35, 402, 156, 1015
22-109|6|5, 645, 6, 1060, 1640, 2213, 1107, 1117, 654, 247
23-271|254, 42|254, 45, 42, 26, 1259, 469, 1474, 604, 1167, 1139
24-233|59, 369, 246, 370, 371, 376, 79, 372, 47, 373, 374, 375, 49|47, 49, 374, 246, 372, 370, 67, 375, 373, 79
25-3785|2094|2468, 27, 567, 222, 88, 659
26-2493|963, 736|731, 582, 1808, 378, 547
27-1057|1003, 641, 484, 655|189, 167, 30, 641, 32, 82, 482, 258
28-726|730, 1031|730, 163, 188, 1415, 488, 1243, 929, 1908, 1905, 1245
29-3911|107, 595, 2551|2551, 595, 1036, 35
30-870|869, 85, 596, 1035, 68|68, 596, 85, 869
31-484|1040, 611, 602|14, 602, 5, 6, 968, 1891, 245, 103, 1890, 683
32-1209|141, 247|517, 1087, 1085, 50, 127, 266, 14, 106
33-857|793, 857|68, 857, 856, 855, 23, 962, 1394, 85, 103, 298
34-1904|242, 863, 23|863, 1716, 1715, 713, 23, 242
35-1232|367, 308|402, 1079, 952, 128, 728
36-217|355, 122, 246, 35, 356, 357|357, 356, 246, 122, 276, 355, 47, 298
37-2082|721, 206, 397, 5|5, 206, 397, 163, 1960, 1901, 721, 171, 105, 1813
38-1542|305, 522|305, 1068, 875
39-1187|863, 91|242, 52, 881, 1556, 26, 45, 794, 469, 254
40-722|1085, 1101, 707|707, 913, 5, 1891, 245, 1894, 14, 241, 6, 274
41-656|282, 353|698
42-2087|107, 1121, 542, 47, 5, 49|49, 5, 47, 64, 542, 113, 1044
43-2472|715, 1835, 806, 1837|1837, 1836, 207, 35, 620, 1835, 418, 6, 1597
44-1985|654|1616, 717, 26, 970, 3696, 1399, 3692
